ID_ESTAC,NOM_ESTACIO,NOM_ORIGINAL,DATA_DIA,DATA_EXTRACCIO,URL_FONT,GRUIX_NEU_MAX,HUMITAT_MITJANA_DIA,PRECIPITACIO_ACUM_DIA,PRESSIO_ATMOSFERICA,RADIACIO_GLOBAL,RATXA_VENT_MAX,TEMPERATURA_MAXIMA_DIA,TEMPERATURA_MINIMA_DIA,TEMPERATURA_MITJANA_DIA
WB,Albesa,ALBESA_WB,2026-02-19,2026-02-19 04:15:33,https://www.meteo.cat/observacions/xema/dades?codi=WB&dia=2026-02-19T09:00Z,,79%,0.0 mm,,0.0 MJ/m2,20.2 km/h - 275º 3:42 TU,9.2 °C 1:05 TU,6.0 °C 3:53 TU,7.7 °C
XY,Alcarràs,ALCARRAS_XY,2026-02-19,2026-02-19 04:15:35,https://www.meteo.cat/observacions/xema/dades?codi=XY&dia=2026-02-19T09:00Z,,73%,0.0 mm,,,13.0 km/h - 253º 3:01 TU,10.3 °C 1:26 TU,8.1 °C 1:02 TU,9.4 °C
U7,Aldover,ALDOVER_U7,2026-02-19,2026-02-19 04:15:38,https://www.meteo.cat/observacions/xema/dades?codi=U7&dia=2026-02-19T09:00Z,,44%,0.0 mm,,0.0 MJ/m2,39.2 km/h - 298º 1:46 TU,15.1 °C 0:42 TU,12.6 °C 3:54 TU,14.0 °C
WK,Alfarràs,ALFARRAS_WK,2026-02-19,2026-02-19 04:15:41,https://www.meteo.cat/observacions/xema/dades?codi=WK&dia=2026-02-19T09:00Z,,82%,0.0 mm,,,19.8 km/h - 284º 1:45 TU,9.9 °C 0:30 TU,5.9 °C 3:05 TU,7.7 °C
WG,Algerri,ALGERRI_WG,2026-02-19,2026-02-19 04:15:43,https://www.meteo.cat/observacions/xema/dades?codi=WG&dia=2026-02-19T09:00Z,,81%,0.0 mm,,0.0 MJ/m2,18.4 km/h - 244º 2:20 TU,8.7 °C 0:00 TU,5.1 °C 3:59 TU,7.2 °C
X3,Alguaire,ALGUAIRE_X3,2026-02-19,2026-02-19 04:15:46,https://www.meteo.cat/observacions/xema/dades?codi=X3&dia=2026-02-19T09:00Z,,91%,0.0 mm,1009.8 hPa,0.0 MJ/m2,39.6 km/h - 265º 0:58 TU,7.8 °C 0:55 TU,4.6 °C 3:50 TU,6.2 °C
ZB,Alins - Salòria (2.451 m),ALINS___SALORIA_2451_M_ZB,2026-02-19,2026-02-19 04:15:48,https://www.meteo.cat/observacions/xema/dades?codi=ZB&dia=2026-02-19T09:00Z,sense dades,90%,1.2 mm,,0.0 MJ/m2,34.9 km/h - 354º 1:06 TU,-4.9 °C 0:40 TU,-8.2 °C 3:54 TU,-7.1 °C
YT,Alt Àneu - Bonabé (1.693 m),ALT_ANEU___BONABE_1693_M_YT,2026-02-19,2026-02-19 04:15:51,https://www.meteo.cat/observacions/xema/dades?codi=YT&dia=2026-02-19T09:00Z,109 cm,73%,0.3 mm,,0.0 MJ/m2,,-0.8 °C 1:01 TU,-2.9 °C 3:46 TU,-1.4 °C
Z1,Alt Àneu - Bonaigua (2.266 m),ALT_ANEU___BONAIGUA_2266_M_Z1,2026-02-19,2026-02-19 04:15:54,https://www.meteo.cat/observacions/xema/dades?codi=Z1&dia=2026-02-19T09:00Z,230 cm,95%,1.6 mm,,0.0 MJ/m2,46.4 km/h - 232º 1:44 TU,-4.9 °C 0:00 TU,-7.0 °C 3:59 TU,-6.2 °C
UU,Amposta,AMPOSTA_UU,2026-02-19,2026-02-19 04:15:56,https://www.meteo.cat/observacions/xema/dades?codi=UU&dia=2026-02-19T09:00Z,,46%,0.0 mm,1010.8 hPa,0.0 MJ/m2,51.8 km/h - 321º 1:44 TU,15.5 °C 1:19 TU,13.3 °C 3:58 TU,14.3 °C
XX,Anglesola - Tornabous,ANGLESOLA___TORNABOUS_XX,2026-02-19,2026-02-19 04:15:59,https://www.meteo.cat/observacions/xema/dades?codi=XX&dia=2026-02-19T09:00Z,,85%,0.0 mm,,,25.2 km/h - 216º 1:54 TU,9.2 °C 0:18 TU,6.5 °C 3:58 TU,8.1 °C
DN,Anglès,ANGLES_DN,2026-02-19,2026-02-19 04:16:02,https://www.meteo.cat/observacions/xema/dades?codi=DN&dia=2026-02-19T09:00Z,,63%,0.0 mm,1006.7 hPa,-0.1 MJ/m2,19.8 km/h - 291º 0:54 TU,14.2 °C 0:54 TU,8.3 °C 3:59 TU,11.4 °C
Z6,Arres - Sasseuva (2.228 m),ARRES___SASSEUVA_2228_M_Z6,2026-02-19,2026-02-19 04:16:04,https://www.meteo.cat/observacions/xema/dades?codi=Z6&dia=2026-02-19T09:00Z,140 cm,91%,1.0 mm,,0.0 MJ/m2,32.8 km/h - 319º 0:06 TU,-4.9 °C 0:02 TU,-7.2 °C 3:47 TU,-6.4 °C
X6,Artesa de Segre - Baldomar,ARTESA_DE_SEGRE___BALDOMAR_X6,2026-02-19,2026-02-19 04:16:07,https://www.meteo.cat/observacions/xema/dades?codi=X6&dia=2026-02-19T09:00Z,,58%,0.0 mm,,0.0 MJ/m2,30.2 km/h - 289º 1:48 TU,10.0 °C 0:14 TU,7.5 °C 3:59 TU,8.9 °C
WW,Artés,ARTES_WW,2026-02-19,2026-02-19 04:16:10,https://www.meteo.cat/observacions/xema/dades?codi=WW&dia=2026-02-19T09:00Z,,74%,0.0 mm,,,,11.1 °C 1:12 TU,7.3 °C 0:10 TU,9.6 °C
VA,Ascó,ASCO_VA,2026-02-19,2026-02-19 04:16:12,https://www.meteo.cat/observacions/xema/dades?codi=VA&dia=2026-02-19T09:00Z,,57%,0.0 mm,,0.0 MJ/m2,34.2 km/h - 305º 3:44 TU,12.8 °C 0:08 TU,9.5 °C 3:59 TU,11.3 °C
WU,Badalona - Museu,BADALONA___MUSEU_WU,2026-02-19,2026-02-19 04:16:15,https://www.meteo.cat/observacions/xema/dades?codi=WU&dia=2026-02-19T09:00Z,,51%,0.0 mm,1007.8 hPa,0.0 MJ/m2,42.8 km/h - 258º 0:03 TU,14.9 °C 0:03 TU,13.6 °C 3:58 TU,14.3 °C
DJ,Banyoles,BANYOLES_DJ,2026-02-19,2026-02-19 04:16:17,https://www.meteo.cat/observacions/xema/dades?codi=DJ&dia=2026-02-19T09:00Z,,74%,8.4 mm,1007.3 hPa,0.0 MJ/m2,24.8 km/h - 234º 3:38 TU,10.1 °C 0:15 TU,7.1 °C 3:59 TU,9.0 °C
X4,Barcelona - el Raval,BARCELONA___EL_RAVAL_X4,2026-02-19,2026-02-19 04:16:20,https://www.meteo.cat/observacions/xema/dades?codi=X4&dia=2026-02-19T09:00Z,,48%,0.0 mm,1007.5 hPa,0.0 MJ/m2,47.5 km/h - 299º 3:53 TU,15.4 °C 0:09 TU,14.1 °C 3:59 TU,14.8 °C
D5,Barcelona - Observatori Fabra,BARCELONA___OBSERVATORI_FABRA_D5,2026-02-19,2026-02-19 04:16:23,https://www.meteo.cat/observacions/xema/dades?codi=D5&dia=2026-02-19T09:00Z,,62%,0.0 mm,1007.3 hPa,0.0 MJ/m2,42.1 km/h - 250º 3:09 TU,11.0 °C 0:09 TU,9.6 °C 3:56 TU,10.5 °C
X8,Barcelona - Zona Universitària,BARCELONA___ZONA_UNIVERSITARIA_X8,2026-02-19,2026-02-19 04:16:25,https://www.meteo.cat/observacions/xema/dades?codi=X8&dia=2026-02-19T09:00Z,,53%,0.0 mm,1007.4 hPa,0.0 MJ/m2,32.8 km/h - 293º 3:45 TU,14.2 °C 1:58 TU,12.5 °C 3:34 TU,13.4 °C
YX,Batea,BATEA_YX,2026-02-19,2026-02-19 04:16:28,https://www.meteo.cat/observacions/xema/dades?codi=YX&dia=2026-02-19T09:00Z,,60%,0.0 mm,,0.0 MJ/m2,,10.9 °C 0:30 TU,7.0 °C 3:51 TU,9.3 °C
UF,Begues - Pn del Garraf - el Rascler,BEGUES___PN_DEL_GARRAF___EL_RASCLER_UF,2026-02-19,2026-02-19 04:16:31,https://www.meteo.cat/observacions/xema/dades?codi=UF&dia=2026-02-19T09:00Z,,63%,0.0 mm,,0.0 MJ/m2,47.2 km/h - 293º 3:47 TU,10.2 °C 0:00 TU,7.9 °C 3:59 TU,9.2 °C
VB,Benissanet,BENISSANET_VB,2026-02-19,2026-02-19 04:16:33,https://www.meteo.cat/observacions/xema/dades?codi=VB&dia=2026-02-19T09:00Z,,56%,0.0 mm,,0.0 MJ/m2,51.5 km/h - 280º 1:20 TU,14.0 °C 0:58 TU,11.0 °C 3:50 TU,12.7 °C
WM,Berga - Santuari de Queralt,BERGA___SANTUARI_DE_QUERALT_WM,2026-02-19,2026-02-19 04:16:36,https://www.meteo.cat/observacions/xema/dades?codi=WM&dia=2026-02-19T09:00Z,,84%,0.0 mm,,0.0 MJ/m2,31.0 km/h - 315º 0:08 TU,5.4 °C 0:16 TU,1.9 °C 3:47 TU,3.6 °C
W8,Blancafort,BLANCAFORT_W8,2026-02-19,2026-02-19 04:16:39,https://www.meteo.cat/observacions/xema/dades?codi=W8&dia=2026-02-19T09:00Z,,66%,0.0 mm,,,,10.7 °C 0:06 TU,7.6 °C 3:58 TU,9.3 °C
YS,Cabanes,CABANES_YS,2026-02-19,2026-02-19 04:16:41,https://www.meteo.cat/observacions/xema/dades?codi=YS&dia=2026-02-19T09:00Z,,75%,3.7 mm,,0.0 MJ/m2,34.6 km/h - 345º 2:00 TU,12.6 °C 0:46 TU,7.5 °C 2:31 TU,9.9 °C
UP,Cabrils,CABRILS_UP,2026-02-19,2026-02-19 04:16:44,https://www.meteo.cat/observacions/xema/dades?codi=UP&dia=2026-02-19T09:00Z,,56%,0.0 mm,1006.9 hPa,0.0 MJ/m2,36.7 km/h - 280º 1:20 TU,14.1 °C 1:03 TU,12.1 °C 3:58 TU,13.3 °C
